ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
248,501276,3,2,28/05/11,4,8,3,2,1,58,1,3,185
249,548311,3,7,04/04/12,5,8,7,1,2,8,1,7,304
250,548312,1,6,05/04/12,5,5,6,1,2,8,1,6,29
251,548313,7,10,06/04/12,5,4,7,1,1,28,1,10,306
252,548314,5,4,06/04/12,5,6,4,1,1,31,1,5,85
253,548315,2,6,07/04/12,5,1,6,1,1,20,1,2,110
254,548316,8,3,07/04/12,5,25,8,1,1,74,1,3,35
255,548317,5,1,08/04/12,5,6,1,1,1,22,1,5,104
256,548318,10,4,08/04/12,5,26,10,2,1,22,1,10,307
257,548319,8,7,09/04/12,5,25,8,2,2,5,1,7,57
258,548320,2,1,10/04/12,5,1,2,1,1,42,1,1,151
259,548321,6,3,10/04/12,5,3,6,1,2,8,1,6,190
260,548322,7,5,11/04/12,5,4,5,1,1,27,1,7,221
261,548323,3,2,12/04/12,5,8,2,2,2,5,1,3,303
262,548324,4,10,12/04/12,5,2,4,1,2,7,1,4,137
263,548325,1,5,13/04/12,5,5,5,2,2,5,1,1,276
264,548326,6,8,19/04/12,5,3,8,2,2,5,1,6,158
265,548327,10,3,14/04/12,5,26,3,2,2,7,1,10,157
266,548328,1,4,15/04/12,5,5,1,1,1,2,1,4,315
267,548329,2,5,15/04/12,5,1,5,2,1,59,1,5,85
268,548330,7,6,16/04/12,5,4,6,1,2,7,1,6,293
269,548331,5,8,17/04/12,5,6,8,2,2,5,1,5,104
270,548332,2,10,17/04/12,5,1,10,2,2,6,1,2,162
271,548333,4,1,18/04/12,5,2,4,2,2,8,1,1,40
272,548334,8,6,10/05/12,5,7,8,2,2,9,1,6,187
273,548335,3,10,19/04/12,5,8,10,1,1,13,1,3,324
274,548336,4,2,20/04/12,5,2,2,1,2,5,1,2,162
275,548337,3,5,21/04/12,5,8,5,2,2,7,1,3,303
276,548338,6,10,21/04/12,5,3,6,1,1,20,1,10,1
277,548339,7,4,22/04/12,5,4,7,2,2,6,1,4,100
